taxon,justification,threats,status,criteria,pop_trend,RangeSize,PopulationSize,NumberOfSubpopulations,GrowthForms,SensitiveGrowthForm,GenusCollected,SpeciesCollectionThreat,PurposeMedicine,PurposeHorticulture,PurposeFood,PurposeFuel,PurposeMaterials,include
Aloe bowiea Schult. & J.H.Schult.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,CR,"A4acd; B2ab(i,ii,iii,iv,v)",Decreasing,550,,3,Geophyte;Herb;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Aloe braamvanwykii Gideon F.Sm. & Figueiredo,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,EN,A2c,Decreasing,4553,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe branddraaiensis Groenew.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,800,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe brevifolia Mill. var. brevifolia,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,A2c; C1+2a(i),Decreasing,14200,<10000,,Herb;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Aloe brevifolia Mill. var. depressa (Haw.) Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,DDT,,Unknown,<10,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe broomii Schanland var. broomii,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,195000,,>20,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe broomii Schanland var. tarkaensis Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,5000,,<10,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe buhrii Lavranos,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,D2,Stable,<80,,,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe castanea Schanland,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,20500,,>20,Shrub;Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe chabaudii Schanland var. chabaudii,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,130000,,>100,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe challisii Van Jaarsv. & A.E.van Wyk,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,D2,Stable,<10,,1,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe chlorantha Lavranos,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,D2,Stable,2800,,,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe chortolirioides A.Berger var. chortolirioides,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,A2c,Decreasing,4240,,>10,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe chortolirioides A.Berger var. woolliana (Pole-Evans) Glen & D.S.Hardy,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,21000,,>10,Dwarf shrub;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe claviflora Burch.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,480000,,>30,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe comosa Marloth & A.Berger,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,2000,,,Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe comptonii Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,,,,,,,Dwarf shrub;Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe condyae Van Jaarsv. & P.Nel,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,D2,Stable,5,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe cooperi Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Decreasing,69000,,>50,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe craibii Gideon F.Sm.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,CR,C2a(i),Decreasing,20,70-100,3,Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Aloe cryptopoda Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,1300000,,>100,Dwarf shrub;Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe dabenorisana Van Jaarsv.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,260,,2,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe dewetii Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,15000,,,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe distans Haw.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,,,,,,,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe dominella Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,"B1ab(ii,iii,v)",Decreasing,12400,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe dyeri Schanland,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,16000,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe ecklonis Salm-Dyck,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,238000,,>100,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe excelsa A.Berger var. excelsa,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,,Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe falcata Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,58000,,>10,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe ferox Mill.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Increasing,294000,>20000000,>500,Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe fosteri Pillans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,7000,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe fouriei D.S.Hardy & Glen,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,DDT,,Unknown,8050,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe framesii L.Bolus,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,"B1ab(ii,iii,iv)",Decreasing,33000,,>10,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe gariepensis Pillans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,>50000,,>10,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe gerstneri Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,"B1ab(i,ii,iii,v)",Decreasing,111,,7,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe glauca Mill.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,95000,,>10,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe globuligemma Pole-Evans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,298000,,>20,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe graciliflora Groenew.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,1616,,>10,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe grandidentata Salm-Dyck,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,94000,,>30,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe greatheadii Schanland var. davyana (Schanland) Glen & D.S.Hardy,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,406000,,>100,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe greatheadii Schanland var. greatheadii,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe greenii Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,40000,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe hahnii Gideon F.Sm. & R.R.Klopper,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,B1ab(iii)+2ab(iii),Decreasing,2052,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe hardyi H.F.Glen,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,490-1400,,42470,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe hereroensis Engl. var. hereroensis,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,>50,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe humilis (L.) Mill.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,86800,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe inconspicua Plowes,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,EN,B1ab(iii)+2ab(iii),Decreasing,200,,,Geophyte;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe integra Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,"B1ab(ii,iii,iv,v)",Decreasing,10200,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe jeppeae Klopper & Gideon F.Sm.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,72969,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe kamnelii Van Jaarsv.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,350,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe karasbergensis Pillans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,74000,,>20,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe knersvlakensis S.J.Marais,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,122,,2,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe kniphofioides Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,A2c,Decreasing,26960,,>20,Geophyte;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe komaggasensis Kritzinger & Van Jaarsv.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,D1+2,Stable,<500,<1000,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe komatiensis Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,EN,"B1ab(i,ii,iii,iv,v)",Decreasing,2055,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe kouebokkeveldensis Van Jaarsv. & A.B.Low,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,<100,,2,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe krapohliana Marloth,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,DDD,,Unknown,68000,,,Herb;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Aloe lettyae Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,EN,"B1ab(iii,v)+2ab(iii,v)",Decreasing,123,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe liliputana Van Jaarsv. & Harrower,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,,,,,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe linearifolia A.Berger,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,"A2c; B1ab(ii,iii,iv,v)",Decreasing,9700,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe lineata (Aiton) Haw. var. lineata,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,5000-31000,,,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe lineata (Aiton) Haw. var. muirii (Marloth) Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,>4600,,>10,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe littoralis Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,,Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe longistyla Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,DDD,,Unknown,81500,,,Herb;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Aloe lutescens Groenew.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,,75000,,>10,Dwarf shrub;Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe maculata All.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,>570000,,>100,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe marlothii A.Berger subsp. marlothii,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,382000,,>50,Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe marlothii A.Berger subsp. orientalis Glen & D.S.Hardy,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,265000,,>10,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe melanacantha A.Berger,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,10000,,>8,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe meyeri Van Jaarsv.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,23,,1,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe micracantha Haw.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,"B1ab(ii,iii,iv,v)",Decreasing,12508,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe microstigma Salm-Dyck,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe minima Baker,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,73000,,>20,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe mitriformis Mill.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,,,,,,,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe modesta Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,"B2ab(ii,iii,iv,v)",Decreasing,11000-28000,,,Geophyte;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe monotropa I.Verd.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,D2,Stable,3,,1,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe mudenensis Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,5800,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe myriacantha (Haw.) Schult. & J.H.Schult.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,>200000,,>20,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe neilcrouchii R.R.Klopper & Gideon F.Sm.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,EN,"B1ab(i,ii,iii,iv,v); C2a(i)",Decreasing,565,<500,5,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe nicholsii Gideon F.Sm. & N.R.Crouch,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,CR,"B1ab(iii,v)+2ab(iii,v); C2a(ii)",Decreasing,1-800,100,1,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe nubigena Groenew.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,150,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe parvibracteata Schanland,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,>20,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe pearsonii Schanland,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,VU,"A2ac; B1ab(iii,v)+2ab(iii,v)",Decreasing,121,,>10,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe peglerae Schanland,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,EN,"A2d; B1ab(ii,v)+2ab(ii,v)",Decreasing,3445,60000-80000,3,Dwarf shrub;Herb;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Aloe perfoliata L.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,215000,,>50,Dwarf shrub;Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe petricola Pole-Evans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,3700,,>10,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe petrophila Pillans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,<100,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe pictifolia D.S.Hardy,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,R,,Stable,300,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
